id,trans
filename,scene_evt220228_cp7_q1_s10
translator,Insli
info,scene_evt220228_cp7_q1_s10
99,就算这样，为了和平，\n永远就要献祭人的生命吗？\n这样子，是真的合理吗……？
98,目送着朋友远去的背影，\n男子只好紧紧握着拳头。
96,我的躯体在几年内就不行了\n只不过……在我离开以后，\n我想修瓦利耶能继续生存下来。
95,……额……
94,修瓦利耶，我相信，\n她对我们人类的愿望\n是再熟悉不过的。
93,即便时间再短暂\n我肯定空之民\n是能行使修瓦利耶之力的……
92,我要守护故乡<span class='scene-font-place'>阿尔比昂</span>\n才跟修瓦利耶缔结契约的。\n所以我很明白。
87,大家一度认为已经和平良久的天空\n如今，空之民同族之间\n却相煎何急而战乱四起。
86,昔日空之民联手，\n一致对外抵御星之民……
85,自从上次霸空战争胜利，\n空之民从星之民手中赢得自由\n已过了好一段日子。
80,<span class='scene-font-place'>阿尔比昂</span>需要这股力量\n这是抵御来自其他岛屿的侵略\n为了贯彻自治权的力量。
79,还有这样的事……？
78,修瓦利耶，她晓得\n我们为了守护什么的心情。\n她是清楚的。
77,不需要言语就能理解的。\n既温暖……而又亲切。
76,<span class='scene-font-4'>你到底在说什么！</span>\n……像这样……连人们说话都不明白……！
75,修瓦利耶她\n是种良善的星晶兽来的。
74,不过，建立起契约以后，\n现在我渐渐就明白了。
73,我就不明白这是为什么……！
72,也许之后不远的未来，我的这幅躯体\n也会像之前的那些契约者一样\n被星晶兽的力量侵蚀殆尽。
71,讲的没错。
70,短则一年不到\n他的身体就会灰飞烟灭……
69,只不过，与修瓦利耶缔结\n契约的空之民，长则只有几年……
68,怎么可能不！？\n没错，我们<span class='scene-font-place'>阿尔比昂</span>人民\n的确需要修瓦利耶……
67,不必感到伤悲，\n我并没有后悔这么做。
66,就算是这样……
65,就有人必须这么做。
64,修瓦利耶她是一种\n倘若脱离了星灵附体\n便无法长期存在的星晶兽。
63,你，为何要这样子……！
56,————
55,不过，我们得这么做……
54,（我们空之民的精神和肉体\n其强度却不足以支撑\n修瓦利耶的星灵附体……）
53,（过去所谓，与星之民缔结契约，\n发挥这股力量的\n尊为星辰骑士的星晶兽）
52,（星晶兽修瓦利耶……）
51,…………
50,那样的话，无需多言。\n我……谨承阁下安排。
49,没有啊。
48,……我有权拒绝吗？
47,唔……拜托你了。
46,我明白了。\n下位契约者是我对吧。
39,我办不到……
38,要将她的所有愿望\n从她身上夺走……\n我无法这么做。
37,但是，不仅如此……
36,原来如此……这可以理解。
35,艾露玛药效强劲。\n有不良副产物，某种程度上来说\n也是必要的，方便维持平衡。
34,……嗯……
33,妳应该也注意到，\n灵药艾露玛会生成些\n不良的副产物吧。
32,妳为何不去\n制止希尔芙她呢？
31,什么事？
30,科斯莫斯，\n能问妳一个问题吗？
23,到底要如何我们才能\n像过去那些与修瓦利耶缔结契约的<span class='scene-font-spword'>星之民</span>那样，\n自如的驾驭这股力量呢……
22,果然这不是空之民能驾驭的了的呀……
21,明白……
20,这样的话，\n你就别多管闲事了！
19,不，别了……那样的话，\n还是请大人恕罪……！
18,那么，要不接着你来试试？\n与星晶兽修瓦利耶缔结契约。
17,这，这个我也不清楚……
16,那应该怎么办？\n还有别的办法\n能将修瓦利耶和我们连结起来不成……！
15,果然……这样子\n还不是个办法啊？\n不管我们重复了多少次……！
14,唔……这次这位人兄\n连一年都挺不过去啊……
11,呃，啊啊啊……修瓦——利——耶……
10,────……
9,嗝，诶……\n<span class='scene-font-4'>啊啊啊啊啊啊啊啊啊！！</span>
8,霸空战争之后，有一个\n被人们称之为阿尔比昂的岛屿——
0-synopsis,霸空战争之后，名为<span class='scene-font-place'>阿尔比昂</span>的岛屿，为了抵御别的岛屿的侵略，使用了星晶兽修瓦利耶的力量。然而星晶兽修瓦利耶需要以星灵附体形式运作。与人类进行星灵附体将会侵蚀该人的性命，短短数年间他便会迎来自己的死亡。与修瓦利耶缔结契约的人利用自己的性命，与之心灵相通并以此实现守护岛民的愿景，如此却不断令他周围的人悲伤不已。
0-chapter_name,第三话 纠结摇摆的心
